,CO2
31-01-1959,315.58
28-02-1959,316.39
31-03-1959,316.79
30-04-1959,317.82
31-05-1959,318.39
30-06-1959,318.22
31-07-1959,316.68
31-08-1959,315.01
30-09-1959,314.02
31-10-1959,313.55
30-11-1959,315.02
31-12-1959,315.75
31-01-1960,316.52
29-02-1960,317.1
31-03-1960,317.79
30-04-1960,319.22
31-05-1960,320.08
30-06-1960,319.7
31-07-1960,318.27
31-08-1960,315.99
30-09-1960,314.24
31-10-1960,314.05
30-11-1960,315.05
31-12-1960,316.23
31-01-1961,316.92
28-02-1961,317.76
31-03-1961,318.54
30-04-1961,319.49
31-05-1961,320.64
30-06-1961,319.85
31-07-1961,318.7
31-08-1961,316.96
30-09-1961,315.17
31-10-1961,315.47
30-11-1961,316.19
31-12-1961,317.17
31-01-1962,318.12
28-02-1962,318.72
31-03-1962,319.79
30-04-1962,320.68
31-05-1962,321.28
30-06-1962,320.89
31-07-1962,319.79
31-08-1962,317.56
30-09-1962,316.46
31-10-1962,315.59
30-11-1962,316.85
31-12-1962,317.87
31-01-1963,318.87
28-02-1963,319.25
31-03-1963,320.13
30-04-1963,321.49
31-05-1963,322.34
30-06-1963,321.62
31-07-1963,319.85
31-08-1963,317.87
30-09-1963,316.36
31-10-1963,316.24
30-11-1963,317.13
31-12-1963,318.46
31-01-1964,319.57
29-02-1964,320.23
31-03-1964,320.89
30-04-1964,321.54
31-05-1964,322.2
30-06-1964,321.9
31-07-1964,320.42
31-08-1964,318.6
30-09-1964,316.73
31-10-1964,317.15
30-11-1964,317.94
31-12-1964,318.91
31-01-1965,319.73
28-02-1965,320.78
31-03-1965,321.23
30-04-1965,322.49
31-05-1965,322.59
30-06-1965,322.35
31-07-1965,321.61
31-08-1965,319.24
30-09-1965,318.23
31-10-1965,317.76
30-11-1965,319.36
31-12-1965,319.5
31-01-1966,320.35
28-02-1966,321.4
31-03-1966,322.22
30-04-1966,323.45
31-05-1966,323.8
30-06-1966,323.5
31-07-1966,322.16
31-08-1966,320.09
30-09-1966,318.26
31-10-1966,317.66
30-11-1966,319.47
31-12-1966,320.7
31-01-1967,322.06
28-02-1967,322.23
31-03-1967,322.78
30-04-1967,324.1
31-05-1967,324.63
30-06-1967,323.79
31-07-1967,322.34
31-08-1967,320.73
30-09-1967,319
31-10-1967,318.99
30-11-1967,320.41
31-12-1967,321.68
31-01-1968,322.3
29-02-1968,322.89
31-03-1968,323.59
30-04-1968,324.65
31-05-1968,325.3
30-06-1968,325.15
31-07-1968,323.88
31-08-1968,321.8
30-09-1968,319.99
31-10-1968,319.86
30-11-1968,320.88
31-12-1968,322.36
31-01-1969,323.59
28-02-1969,324.23
31-03-1969,325.34
30-04-1969,326.33
31-05-1969,327.03
30-06-1969,326.24
31-07-1969,325.39
31-08-1969,323.16
30-09-1969,321.87
31-10-1969,321.31
30-11-1969,322.34
31-12-1969,323.74
31-01-1970,324.61
28-02-1970,325.58
31-03-1970,326.55
30-04-1970,327.81
31-05-1970,327.82
30-06-1970,327.53
31-07-1970,326.29
31-08-1970,324.66
30-09-1970,323.12
31-10-1970,323.09
30-11-1970,324.01
31-12-1970,325.1
31-01-1971,326.12
28-02-1971,326.62
31-03-1971,327.16
30-04-1971,327.94
31-05-1971,329.15
30-06-1971,328.79
31-07-1971,327.53
31-08-1971,325.65
30-09-1971,323.6
31-10-1971,323.78
30-11-1971,325.13
31-12-1971,326.26
31-01-1972,326.93
29-02-1972,327.84
31-03-1972,327.96
30-04-1972,329.93
31-05-1972,330.25
30-06-1972,329.24
31-07-1972,328.13
31-08-1972,326.42
30-09-1972,324.97
31-10-1972,325.29
30-11-1972,326.56
31-12-1972,327.73
31-01-1973,328.73
28-02-1973,329.7
31-03-1973,330.46
30-04-1973,331.7
31-05-1973,332.66
30-06-1973,332.22
31-07-1973,331.02
31-08-1973,329.39
30-09-1973,327.58
31-10-1973,327.27
30-11-1973,328.3
31-12-1973,328.81
31-01-1974,329.44
28-02-1974,330.89
31-03-1974,331.62
30-04-1974,332.85
31-05-1974,333.29
30-06-1974,332.44
31-07-1974,331.35
31-08-1974,329.58
30-09-1974,327.58
31-10-1974,327.55
30-11-1974,328.56
31-12-1974,329.73
31-01-1975,330.45
28-02-1975,330.98
31-03-1975,331.63
30-04-1975,332.88
31-05-1975,333.63
30-06-1975,333.53
31-07-1975,331.9
31-08-1975,330.08
30-09-1975,328.59
31-10-1975,328.31
30-11-1975,329.44
31-12-1975,330.64
31-01-1976,331.62
29-02-1976,332.45
31-03-1976,333.36
30-04-1976,334.46
31-05-1976,334.84
30-06-1976,334.29
31-07-1976,333.04
31-08-1976,330.88
30-09-1976,329.23
31-10-1976,328.83
30-11-1976,330.18
31-12-1976,331.5
31-01-1977,332.8
28-02-1977,333.22
31-03-1977,334.54
30-04-1977,335.82
31-05-1977,336.45
30-06-1977,335.97
31-07-1977,334.65
31-08-1977,332.4
30-09-1977,331.28
31-10-1977,330.73
30-11-1977,332.05
31-12-1977,333.54
31-01-1978,334.65
28-02-1978,335.06
31-03-1978,336.32
30-04-1978,337.39
31-05-1978,337.66
30-06-1978,337.56
31-07-1978,336.24
31-08-1978,334.39
30-09-1978,332.43
31-10-1978,332.22
30-11-1978,333.61
31-12-1978,334.78
31-01-1979,335.88
28-02-1979,336.43
31-03-1979,337.61
30-04-1979,338.53
31-05-1979,339.06
30-06-1979,338.92
31-07-1979,337.39
31-08-1979,335.72
30-09-1979,333.64
31-10-1979,333.65
30-11-1979,335.07
31-12-1979,336.53
31-01-1980,337.82
29-02-1980,338.19
31-03-1980,339.89
30-04-1980,340.56
31-05-1980,341.22
30-06-1980,340.92
31-07-1980,339.26
31-08-1980,337.27
30-09-1980,335.66
31-10-1980,335.54
30-11-1980,336.71
31-12-1980,337.79
31-01-1981,338.79
28-02-1981,340.06
31-03-1981,340.93
30-04-1981,342.02
31-05-1981,342.65
30-06-1981,341.8
31-07-1981,340.01
31-08-1981,337.94
30-09-1981,336.17
31-10-1981,336.28
30-11-1981,337.76
31-12-1981,339.05
31-01-1982,340.18
28-02-1982,341.04
31-03-1982,342.16
30-04-1982,343.01
31-05-1982,343.64
30-06-1982,342.91
31-07-1982,341.72
31-08-1982,339.52
30-09-1982,337.75
31-10-1982,337.68
30-11-1982,339.14
31-12-1982,340.37
31-01-1983,341.32
28-02-1983,342.45
31-03-1983,343.05
30-04-1983,344.91
31-05-1983,345.77
30-06-1983,345.3
31-07-1983,343.98
31-08-1983,342.41
30-09-1983,339.89
31-10-1983,340.03
30-11-1983,341.19
31-12-1983,342.87
31-01-1984,343.74
29-02-1984,344.55
31-03-1984,345.28
30-04-1984,347
31-05-1984,347.37
30-06-1984,346.74
31-07-1984,345.36
31-08-1984,343.19
30-09-1984,340.97
31-10-1984,341.2
30-11-1984,342.76
31-12-1984,343.96
31-01-1985,344.82
28-02-1985,345.82
31-03-1985,347.24
30-04-1985,348.09
31-05-1985,348.66
30-06-1985,347.9
31-07-1985,346.27
31-08-1985,344.21
30-09-1985,342.88
31-10-1985,342.58
30-11-1985,343.99
31-12-1985,345.31
31-01-1986,345.98
28-02-1986,346.72
31-03-1986,347.63
30-04-1986,349.24
31-05-1986,349.83
30-06-1986,349.1
31-07-1986,347.52
31-08-1986,345.43
30-09-1986,344.48
31-10-1986,343.89
30-11-1986,345.29
31-12-1986,346.54
31-01-1987,347.66
28-02-1987,348.07
31-03-1987,349.12
30-04-1987,350.55
31-05-1987,351.34
30-06-1987,350.8
31-07-1987,349.1
31-08-1987,347.54
30-09-1987,346.2
31-10-1987,346.2
30-11-1987,347.44
31-12-1987,348.67
