BilledMonth,Amount
Jan-00,55.46
Feb-00,61.99
Mar-00,75.38
Apr-00,61.34
May-00,63.07
Jun-00,99.97
Jul-00,156.81
Aug-00,172.65
Sep-00,144.74
Oct-00,109.61
Nov-00,69.93
Dec-00,62
Jan-01,76.34
Feb-01,68.6
Mar-01,93.01
Apr-01,65.41
May-01,72.76
Jun-01,86.08
Jul-01,162.84
Aug-01,156
Sep-01,144.15
Oct-01,114.23
Nov-01,69.18
Dec-01,58.3
Jan-02,65.61
Feb-02,81.13
Mar-02,93.72
Apr-02,80.15
May-02,62.72
Jun-02,87.39
Jul-02,153.62
Aug-02,165.58
Sep-02,151.69
Oct-02,122.81
Nov-02,66.17
Dec-02,55.6
Jan-03,54.26
Feb-03,57.76
Mar-03,83.59
Apr-03,58.57
May-03,66.37
Jun-03,80.31
Jul-03,132.98
Aug-03,144.44
Sep-03,135.64
Oct-03,120.7
Nov-03,84.81
Dec-03,65.13
Jan-04,60.44
Feb-04,58.48
Mar-04,74.03
Apr-04,63.08
May-04,65.23
Jun-04,93.95
Jul-04,156.91
Aug-04,152.73
Sep-04,147.66
Oct-04,118.16
Nov-04,83.82
Dec-04,59.3
Jan-05,58.19
Feb-05,75.04
Mar-05,73.01
Apr-05,65.45
May-05,61.54
Jun-05,93.18
Jul-05,146.53
Aug-05,137.93
Sep-05,136.21
Oct-05,110.62
Nov-05,65.76
Dec-05,54.4
Jan-06,71.71
Feb-06,71.81
Mar-06,90.09
Apr-06,66.49
May-06,59.62
Jun-06,90.66
Jul-06,139.88
Aug-06,151.81
Sep-06,158.01
Oct-06,112.57
Nov-06,75.75
Dec-06,57.88
Jan-07,56.81
Feb-07,62.13
Mar-07,81.29
Apr-07,64.46
May-07,60.01
Jun-07,99.84
Jul-07,134.49
Aug-07,146.08
Sep-07,146.76
Oct-07,126.11
Nov-07,75.52
Dec-07,59.81
Jan-08,61.75
Feb-08,72.39
Mar-08,81.77
Apr-08,65.98
May-08,64.26
Jun-08,103.28
Jul-08,127.4
Aug-08,118.49
Sep-08,111
Oct-08,97.2
Nov-08,70.05
Dec-08,57.13
Jan-09,62.09
Feb-09,78.67
Mar-09,78.76
Apr-09,68.57
May-09,64.12
Jun-09,106.41
Jul-09,147.75
Aug-09,148.21
Sep-09,139.74
Oct-09,119.23
Nov-09,86.71
Dec-09,67.79
Jan-10,66.73
Feb-10,57.85
Mar-10,70.5
Apr-10,65.94
May-10,58.62
Jun-10,113.95
Jul-10,136.46
Aug-10,125.21
Sep-10,136.99
Oct-10,104.08
Nov-10,59.6
Dec-10,53.6
Jan-11,56.07
Feb-11,58.62
Mar-11,68.59
Apr-11,60.83
May-11,70.61
Jun-11,96.33
Jul-11,115.76
Aug-11,120.22
Sep-11,113.95
Oct-11,97.71
Nov-11,61.72
Dec-11,54.22
Jan-12,54.92
Feb-12,61.8
Mar-12,70.44
Apr-12,56.78
May-12,58.44
Jun-12,78.37
Jul-12,115.41
Aug-12,117.47
Sep-12,110.89
Oct-12,92.58
Nov-12,66.01
Dec-12,43.77
Jan-13,56.08
Feb-13,57.72
Mar-13,60.52
Apr-13,55.07
May-13,49.53
Jun-13,85.1
Jul-13,116.66
Aug-13,109.66
Sep-13,102.08
Oct-13,89.32
Nov-13,74.93
Dec-13,47.35
Jan-14,50.7
Feb-14,55.92
Mar-14,62.86
Apr-14,59.96
May-14,53.78
Jun-14,77.59
Jul-14,124.75
Aug-14,146.28
Sep-14,123.28
Oct-14,104.16
Nov-14,68.04
Dec-14,56.91
Jan-15,55.78
Feb-15,68.05
Mar-15,77.52
Apr-15,64.77
May-15,59.83
Jun-15,81.94
Jul-15,113.99
Aug-15,125.81
Sep-15,117.2
Oct-15,96.88
Nov-15,61.68
Dec-15,46.5
Jan-16,45.91
Feb-16,50.27
Mar-16,54.26
